0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
14676	6051	7550	15787	14653	10352	7620	2984	4041	5106	6507	8665	7260	12665	3686	16618	16557	3430
8521	4267	9328	12117	3114	14294	9195	15987	2394	12841	13349	11416	5940	6326	1801	10853	17965	14483
269	7432	8468	17945	18250	17849	11118	15051	18972	3580	17590	17478	16362	18141	12136	18397	11296	1603
16978	2192	16711	12535	9675	384	6917	12209	6216	14118	17746	4544	14781	7896	9837	18662	12838	17428
8559	8356	15960	210	11796	1582	17537	4440	7760	11903	11725	6532	10443	1232	2940	14949	7676	12766
12434	10065	5024	15211	4445	16018	3888	3189	9012	7638	16362	6634	10129	5280	10083	12987	13103	4678
8137	14136	17933	6153	14386	13482	13972	3308	8335	7261	15460	9630	14439	7842	13668	18461	4402	16760
18164	11824	18256	2123	7962	10177	3015	18310	8106	17022	4066	16417	7219	2887	10443	13847	1139	11973
8888	15424	4902	13897	15366	2746	12312	1547	1983	9	13532	9149	411	1775	2976	867	5845	492
13859	14098	774	12165	818	6632	1736	17838	11699	6751	2273	2288	1070	16495	12934	504	17512	16702
1049	13961	5507	14971	14549	1628	5699	9076	627	13832	4552	16460	11730	11306	15724	6167	10840	4376
10615	11326	12605	523	1063	18464	2693	4802	5661	10110	3541	15371	6705	7115	3267	18013	8211	12178
9247	5761	6215	16950	14473	12614	13980	11146	8772	16132	12912	3229	6670	10245	2026	4570	12039	15320
14568	2446	10392	7101	8782	6046	1322	8153	1928	1438	18624	6980	2329	16091	1026	14939	10848	16444
3651	17060	8237	8742	3556	14465	14538	4284	7997	2740	14397	17920	10463	12079	4793	10275	7922	10178
5011	18091	1283	8271	3733	13902	7983	3626	16137	4815	670	10646	2698	17710	15578	12682	395	6449
892	18428	311	6416	8924	1162	2337	6052	8828	7901	4819	108	10105	5229	3268	444	7317	2054
1193	5841	469	4183	2	3297	9684	4309	3705	12952	17143	3450	370	315	14401	4124	3874	6654
1971	16139	4313	15056	13925	9083	14421	1645	885	12878	13699	14789	208	7417	15927	476	9159	10850
7247	17556	7604	16070	11141	3370	6794	3544	17770	18984	17290	18218	8120	16840	7300	7528	6329	5434
8054	1329	18625	5991	17909	16107	2781	5539	5803	6822	8392	4238	6939	4938	12191	8961	12095	4324
8931	3895	10526	11811	3721	9965	1864	6046	6521	4019	15407	14426	7968	10156	9400	10467	11678	9970
12498	6581	17818	10264	13801	15235	18095	5026	4048	9632	3304	317	3972	18304	18405	2307	7118	5981
3891	9568	17300	16555	15319	15733	10094	14063	12583	775	533	14772	17557	581	6260	18188	2236	5163
12571	16496	10062	7287	15565	12089	9800	17039	18136	2501	9942	11797	7996	10825	10760	10583	12228	14133
18186	2110	5296	15133	5587	2526	7400	10833	8374	9104	4922	1685	16624	4767	10669	10264	3531	1008
10727	12030	11070	18458	1010	16343	5731	15832	6135	5964	738	13300	1808	13147	12368	6878	13108	18831
9908	1341	797	4296	10617	17924	9870	13278	5878	4503	2950	17091	5133	17690	14506	9727	6124	3990
14127	3891	15521	6051	6765	13457	745	14549	3340	2168	9763	15186	16160	8573	10772	2188	867	4440
4280	124	16576	9788	14175	357	1346	18557	7984	8079	14778	6211	629	4170	7220	12653	945	10052
4379	320	8150	14840	9817	11261	1122	18964	8090	12805	14496	634	1821	7112	14487	16730	6131	17748
14619	3854	17400	13866	10026	12482	2326	6220	5541	18851	10810	16557	15100	18836	13807	6818	6826	7194
2000	17567	7264	10789	18431	3424	13371	4054	17185	653	15992	13810	14615	11991	9500	758	17726	9590
896	10565	2631	7680	81	2230	18635	16831	4198	4995	13732	3622	10565	568	9840	11599	6272	8965
