0	1	2	3	4	5	6	7
13933	1478	13135	6711	14266	14488	6970	15278
8260	14693	13084	2331	8771	6226	3088	5031
13706	7076	6111	7717	4733	5358	4491	11930
10070	2081	2507	9089	13796	14713	14045	2285
14698	10445	1481	5985	5554	299	9630	14068
2272	14948	10116	287	11299	4367	2214	1699
13119	9362	4232	7132	12748	8748	11393	3002
7584	13773	148	7894	13764	3625	3162	10852
8157	11266	12128	5481	13395	4333	6545	8035
8535	5021	13276	11825	678	2787	588	5043
10494	7687	2766	3654	1039	5884	377	2003
8882	12470	3011	1777	5174	8512	4027	4434
7230	5918	5736	7441	2417	2734	863	5705
4178	13867	14933	1528	13769	8956	14879	2990
14108	2933	2466	12183	15369	8439	225	1191
3887	5918	4873	8312	14435	3883	5378	7745
15124	11722	14290	9594	13203	2105	15207	6079
13273	3843	7805	13305	132	13109	7580	12723
7213	6839	12744	6195	985	5574	15215	4154
10689	3701	11376	1874	11741	3425	9490	109
4603	7762	13449	10451	12543	10317	2022	9347
138	8871	12593	15177	11968	7871	7503	9205
13129	4925	5224	4835	3277	8240	3230	10356
3988	14197	5252	5371	3892	14037	10842	7948
6412	1176	15372	8948	14030	8282	2922	13533
13837	15414	249	3654	3430	1031	13594	4742
15099	1071	6215	604	2969	11954	13354	6064
5341	9387	221	8335	1548	14384	14374	14118
3742	11678	13383	12159	15056	8307	7786	10174
4496	4389	14194	10323	2418	8685	1460	11768
3336	4524	2257	10327	9394	2108	12957	3305
14008	14296	7079	6105	11307	6273	4621	7679
2173	2897	10945	6833	8115	783	4968	9231
7624	420	8311	8703	10822	3365	6869	5518
4903	9737	9588	13615	12981	796	14549	540
3799	6922	6292	13872	6060	13167	3550	9509
9617	15211	11059	1422	6386	9334	3111	4181
9738	14526	10321	9170	9577	2356	5292	2123
674	5160	3191	14353	11975	9747	7308	8861
5256	2964	11607	15143	14231	7937	2376	10588
14796	15064	11757	6649	8904	7904	5905	8355
7256	6558	13366	14358	4737	7289	11458	11263
426	9724	14554	652	4133	7983	4734	10509
4124	4526	8396	11772	3996	8339	6216	15197
7175	8345	14375	14983	10090	1980	12711	3629
15350	11820	10750	291	1715	4423	6958	221
11090	2968	1767	8466	3863	7572	6712	12238
11023	10860	10720	3567	6006	8149	2117	2533
11371	11510	8982	8955	10317	10749	4079	4400
9860	7921	3421	8774	12159	4410	11528	1313
466	7061	10054	12705	13242	11373	10986	5777
13630	4221	5737	8398	12863	12182	10697	11820
1408	15203	11289	13569	5937	497	2418	10347
7350	6415	12597	11926	8698	7145	3122	6506
5368	5496	5969	15413	6345	2556	2826	1323
2540	4337	15325	9032	4825	6750	2159	11761
658	13596	4054	9462	14418	12115	14784	4753
13959	14184	1821	10070	5082	7992	12992	7236
12238	7779	10525	6173	5772	8035	7308	1042
606	5718	6561	12385	9459	3083	13881	13746
14854	1066	6617	10564	3745	3482	6089	15227
170	13030	6449	8235	8342	6393	1206	12992
14395	11203	9035	8394	14777	4266	4246	9340
3150	14763	5124	3550	11623	7123	10709	3356
8420	14804	7171	11557	8401	158	1215	14852
4861	959	7218	2484	2211	5141	9164	2142
3421	4859	828	180	4276	4982	8130	12325
5597	3498	5555	2936	1150	12386	12577	7241
6341	9792	13411	10633	9491	3719	5010	3029
2155	7802	9918	1207	10995	7485	15241	5039
6981	14959	8090	11671	11361	4	14740	9274
12685	1491	13316	6545	8690	6896	3818	15066
12423	2479	14720	7602	7324	15412	8030	14112
1600	7984	7967	2111	11428	4360	6922	10664
1250	6265	2582	10839	9969	262	9386	3730
10979	6606	12355	3185	10832	6288	11296	14717
995	7004	6379	3753	14270	11288	9749	14927
10803	862	11445	5409	3361	14990	10591	11580
7303	6971	10214	11026	1259	3518	13528	3940
6310	11987	3322	13662	15161	11381	9589	5903
6246	6714	12396	516	5543	2326	8074	5954
5634	9454	8562	8795	3184	13442	1601	336
10599	14150	8359	12646	14009	2591	6069	10356
